RiverId,RiverSection,StateCode
1,Archangel Creek,AK
2,Canyon Creek,AK
3,Gulkana,AK
4,Kenai,AK
5,Little Susitna,AK
6,Matanuska,AK
7,Mendenhall,AK
8,Moose Creek,AK
9,Reeds Creek,AK
10,Ship Creek,AK
11,Sixmile (& E. Fork Sixmile),AK
12,Stikine,AK
13,Susitna,AK
14,Talkeetna,AK
15,Willow Creek,AK
16,Wolverine Creek,AK
17,Bear Creek (Dekalb Co.),AL
18,Black,AL
19,Blackwater Creek,AL
20,Cahaba,AL
21,Chattahoochee,AL
22,Cheaha Creek,AL
23,Chinquapin Creek,AL
24,Choccolocco Creek,AL
25,Coosa,AL
26,Cotaco Creek,AL
27,Graves Creek,AL
28,Gurley Creek,AL
29,Hatchet Creek,AL
30,Hicks Creek,AL
31,Hog Creek,AL
32,Hubbard Creek,AL
33,Johnnies Creek,AL
34,Little,AL
35,Little Uchee,AL
36,"Little, E. Fork",AL
37,"Little, W. Fork",AL
38,Salt Creek,AL
39,Sipsey Fork,AL
40,Socapatoy Creek,AL
41,Sougahatchee Creek,AL
42,South Sauty Creek,AL
43,Talladega Creek,AL
44,Tallapoosa,AL
45,Turkey Creek,AL
46,Walnut Creek,AL
47,"Warrior, Blackburn Fork",AL
48,"Warrior, Locust Fork",AL
49,Wolf Creek (LRC Tributary),AL
50,Wolf Creek (Weiss Lake Tributary),AL
51,Yellow Creek,AL
52,Baker Creek,AR
53,Bear Creek (Big Piney trib),AR
54,Bear Creek (South Fourche trib),AR
55,Big Creek,AR
56,Big Devil's Fork,AR
57,Big Piney Creek,AR
58,Blackburn Creek,AR
59,Blaylock Creek,AR
60,Blocker Creek,AR
61,Bobtail Creek,AR
62,Boen Gulf Branch,AR
63,Boss Hollow,AR
64,Brushy Creek,AR
65,Buffalo,AR
66,Caddo,AR
67,Cadron Creek,AR
68,"Cadron Creek, East Fork",AR
69,"Cadron Creek, Middle Fork",AR
70,Cedar Creek (Crawford Co.),AR
71,"Cedar Creek, E. Fork (Crawford Co.)",AR
72,"Cedar Creek, W. Fork (Crawford Co.)",AR
73,Clark Creek,AR
74,Clear Creek,AR
75,Cossatot,AR
76,Cove Creek (Faulkner Co.),AR
77,Crooked Creek (Montgomery Co.),AR
78,Dry Creek (Richland),AR
79,Fall Creek,AR
80,Falling Water Creek,AR
81,Falls Branch,AR
82,Fiddlers Creek,AR
83,Frog Bayou,AR
84,Graves Creek,AR
85,Harris Creek,AR
86,Hart Creek,AR
87,Hogan's Creek,AR
88,Hurricane Creek (Franklin County),AR
89,Hurricane Creek (Newton & Pope Co.),AR
90,Illinois,AR
91,Illinois Bayou,AR
92,"Illinois Bayou, E. Fork",AR
93,"Illinois Bayou, Middle Fork",AR
94,"Illinois Bayou, N. Fork",AR
95,Indian Creek,AR
96,Jack Creek,AR
97,Kings,AR
98,Lee Creek,AR
99,Left Hand Prong,AR
100,Little Missouri,AR
101,Little Piney Creek,AR
102,"Little Red, Archey's Fork",AR
103,"Little Red, Middle Fork",AR
104,"Little Red, South Fork",AR
105,Long Devil's Fork,AR
106,Meadow Creek,AR
107,Moore Creek,AR
108,Mulberry,AR
109,North Sylamore Creek,AR
110,Opossum Creek,AR
111,Ouachita,AR
112,Richland Creek,AR
113,Rock Creek,AR
114,Salado Creek,AR
115,Saline (Howard County),AR
116,"Saline, Alum Fork",AR
117,"Saline, North Fork",AR
118,South Fourche LaFave,AR
119,Spirits Creek,AR
120,Spring,AR
121,Strawberry,AR
122,Sugar Creek,AR
123,Sulphur Creek,AR
124,Trace Creek,AR
125,War Eagle Creek,AR
126,White,AR
127,"White, Middle Fork",AR
128,"White, West Fork",AR
129,Bill Williams,AZ
130,"Black, E. Fork",AZ
131,Blue,AZ
132,Chevelon Creek,AZ
133,Christopher Creek,AZ
134,Colorado,AZ
135,Eagle Creek,AZ
136,East Verde,AZ
137,Ellison Creek,AZ
138,Fossil Creek,AZ
139,Gila,AZ
140,Little Colorado,AZ
141,Oak Creek,AZ
142,Salome Creek,AZ
143,Salt,AZ
144,San Francisco,AZ
145,Sycamore Creek,AZ
146,Tonto Creek,AZ
147,Verde,AZ
148,Virgin,AZ
149,Wet Beaver Creek,AZ
150,"White River, East Fork",AZ
151,Alameda Creek,CA
152,American,CA
153,"American, N. Fork",CA
154,Antelope Creek,CA
155,Arroyo Hondo,CA
156,Arroyo Mocho,CA
157,Arroyo Seco,CA
158,Arroyo Valle,CA
159,Battle Creek,CA
160,Bear Creek,CA
161,Big Sulphur Creek,CA
162,Big Sur,CA
163,Brush Creek,CA
164,Butte Creek,CA
165,Cache Creek,CA
166,Carmel,CA
167,"Carson, E. Fork",CA
168,Cherry Creek,CA
169,Clear Creek (Sacramento trib.),CA
170,Cosumnes,CA
171,Crapo Creek,CA
172,Cuyama,CA
173,Deer Creek,CA
174,Dry Meadow Creek,CA
175,Eel,CA
176,"Eel, Middle Fork",CA
177,"Eel, S. Fork",CA
178,Elder Creek,CA
179,Goose Creek,CA
180,Indian Creek (Klamath trib),CA
181,"Kern, S. Fork",CA
182,Klamath,CA
183,Little Sulphur Creek,CA
184,Los Penasquitos Creek,CA
185,Mattole,CA
186,Merced,CA
187,Napa,CA
188,Navarro,CA
189,New,CA
190,Noyo,CA
191,Piru Creek,CA
192,Pit,CA
193,Putah Creek,CA
194,Redwood Creek,CA
195,Russian,CA
196,Animas,CO
197,Arkansas,CO
198,Blue,CO
199,"Cache La Poudre, North Fork",CO
200,Cimarron,CO
201,Clear Creek,CO
202,"Clear Creek, West Fork",CO
203,Colorado,CO
204,Cross Creek,CO
205,Crystal,CO
206,"Crystal, South Fork",CO
207,Daisy Creek,CO
208,Dolores,CO
209,Eagle,CO
210,East,CO
211,Elk River,CO
212,Fish Creek,CO
213,Fraser,CO
214,Fryingpan,CO
215,Gore Creek,CO
216,Green,CO
217,Gunnison,CO
218,"Gunnison, North Fork",CO
219,Homestake Creek,CO
220,Joe Wright Creek,CO
221,Lake Fork Gunnison,CO
222,Mineral Creek,CO
223,North Platte,CO
224,Oh Be Joyful Creek,CO
225,Piedra,CO
226,Piney,CO
227,Plateau Creek,CO
228,Purgatoire,CO
229,Roaring Fork,CO
230,San Juan,CO
231,San Miguel,CO
232,Slate,CO
233,Snake River,CO
234,South Platte,CO
235,Taylor River Canyon,CO
236,Tenmile Creek,CO
237,Uncompahgre River,CO
238,Vallecito Creek,CO
239,White,CO
240,Williams Fork,CO
241,Woods Creek,CO
242,Yampa,CO
243,Center Brook,CT
244,Far Mill River,CT
245,Farmington,CT
246,"Farmington, W. Branch",CT
247,Housatonic,CT
248,Hubbard,CT
249,Natchaug,CT
250,Naugatuck,CT
251,Norwalk,CT
252,Quinebaug,CT
253,Roaring Brook,CT
254,Salmon,CT
255,Sandy Brook,CT
256,Shepaug,CT
257,Still,CT
258,Tenmile,CT
259,Willimantic River,CT
260,Brandywine Creek,DE
261,"Brandywine Creek, W. Branch",DE
262,Red Clay Creek,DE
263,Alapahoochee (Grand Bay Canal),FL
264,Hillsborough,FL
265,Suwannee,FL
266,Alcovy,GA
267,Allen Creek,GA
268,Amicalola Creek,GA
269,Annewakee,GA
270,Apalachee,GA
271,Augusta Canal Overflow,GA
272,Bear Creek,GA
273,Big Creek,GA
274,Big Sandy Creek,GA
275,Blood Mountain Creek,GA
276,Boggs Creek,GA
277,Broad,GA
278,"Broad, South Fork",GA
279,Cartecay,GA
280,Chattahoochee,GA
281,Chattooga,GA
282,"Chattooga, West Fork",GA
283,Chauga,GA
284,Chestatee,GA
285,Clear Creek,GA
286,Coleman,GA
287,Conasauga,GA
288,Coosa,GA
289,Coosawattee,GA
290,Dicks Creek,GA
291,Dog,GA
292,Etowah,GA
293,Flat Creek,GA
294,Flat Shoal River,GA
295,Flint,GA
296,Frogtown Creek,GA
297,Gulf Creek,GA
298,Hazel Creek,GA
299,Holly Creek,GA
300,Hudson,GA
301,Hurricane Creek,GA
302,Line Creek,GA
303,Little,GA
304,Little 2 (Putnam County),GA
305,Little 3 (Putnam County),GA
306,Little Towaliga,GA
307,"Little, E.Fk.",GA
308,"Little, North Fork",GA
309,Marsh Creek,GA
310,Mill Shoal Creek,GA
311,Mobley Creek,GA
312,Moccasin Creek,GA
313,Mossy Creek,GA
314,Mud Creek,GA
315,Murder Creek,GA
316,Nancy Town,GA
317,Nickajack Creek,GA
318,North Oconee,GA
319,Ocmulgee,GA
320,Oconee,GA
321,Ogeechee,GA
322,Overflow Creek,GA
323,Potato Creek,GA
324,Rottenwood Creek,GA
325,Savannah,GA
326,Sewell Mill Creek,GA
327,Skull Shoal Creek,GA
328,Snake,GA
329,Sope Creek,GA
330,South,GA
331,Stekoa Creek,GA
332,Sweetwater Creek,GA
333,Talking Rock Creek,GA
334,Tallulah,GA
335,Tanyard Branch,GA
336,Tesnatee Creek,GA
337,Tiger Creek,GA
338,Warwoman Creek,GA
339,Whetstone Creek,GA
340,Whooping Creek,GA
341,Wildcat Creek,GA
342,Wolf Creek,GA
343,Yahoola Creek,GA
344,Yellow,GA
345,Hanalei,HI
346,Koaie Stream,HI
347,Ohe'o Gulch,HI
348,Wailuku River (Hilo Run),HI
349,Waimea,HI
350,Boone,IA
351,Cedar,IA
352,Des Moines,IA
353,"Lizard Creek, S.Br.",IA
354,Maquoketa,IA
355,Onion Creek,IA
356,Raccoon,IA
357,South Skunk,IA
358,Turkey,IA
359,Walnut Creek,IA
360,White Breast Creek,IA
361,Winnebago,IA
362,Bear,ID
363,Big Bear,ID
364,Big Creek (Tributary of St. Joe River),ID
365,Bitch Creek,ID
366,Boise,ID
367,"Boise, N. Fork",ID
368,"Boise, S. Fork",ID
369,Boulder Creek,ID
370,Boundary Creek,ID
371,Bruneau,ID
372,"Bruneau, W. Fork",ID
373,"Clearwater, N. Fork",ID
374,"Clearwater, S. Fork",ID
375,Coeur d'Alene,ID
376,"Coeur d'Alene, Big North Fork",ID
377,"Coeur d'Alene, Little North Fork",ID
378,"Coeur d'Alene, North Fork",ID
379,"Coeur d'Alene, South Fork",ID
380,Deadwood,ID
381,Falls,ID
382,Fish Creek,ID
383,Henrys Fork,ID
384,Jarbidge,ID
385,Johnson Creek,ID
386,Lion Creek,ID
387,Little Potlatch River,ID
388,Little Salmon,ID
389,Lochsa,ID
390,Lolo Creek,ID
391,Malad (aka Big Wood),ID
392,Mores Creek,ID
393,Moyie,ID
394,Owyhee,ID
395,Pack,ID
396,Payette,ID
397,"Payette, Middle Fork",ID
398,"Payette, N. Fork",ID
399,"Payette, S. Fork",ID
400,Portneuf,ID
401,Potlatch,ID
402,Priest,ID
403,Salmon,ID
404,"Salmon, E. Fork of S. Fork",ID
405,"Salmon, Middle Fork",ID
406,"Salmon, S. Fork",ID
407,"Salmon, Yankee Fork",ID
408,Secesh,ID
409,Selway,ID
410,Smith Creek,ID
411,Snake,ID
412,Spokane,ID
413,St. Joe,ID
414,St. Maries,ID
415,Teton,ID
416,Weiser,ID
417,Yaak,ID
418,Bailey Creek,IL
419,Bear Branch,IL
420,Bear Creek,IL
421,Blackberry Creek,IL
