UsgsGaugeId,RiverSection
15290000,Archangel Creek
15271000,Canyon Creek
15200280,Gulkana
15258000,Kenai
15290000,Little Susitna
15284000,Matanuska
15052500,Mendenhall
15283700,Moose Creek
15290000,Reeds Creek
15276000,Ship Creek
15271000,Sixmile (& E. Fork Sixmile)
15024800,Stikine
15292000,Susitna
15292700,Talkeetna
15294005,Willow Creek
15236900,Wolverine Creek
02399200,Bear Creek (Dekalb Co.)
02399200,Black
02453000,Blackwater Creek
02423380,Cahaba
02341460,Chattahoochee
02338523,Cheaha Creek
02399200,Chinquapin Creek
02404400,Choccolocco Creek
02411600,Coosa
02399200,Cotaco Creek
02455000,Graves Creek
02455980,Gurley Creek
02408540,Hatchet Creek
02399200,Hicks Creek
02455000,Hog Creek
02450250,Hubbard Creek
02399200,Johnnies Creek
02342500,Little Uchee
02399200,"Little, E. Fork"
02399200,"Little, W. Fork"
02399200,Little
02404400,Salt Creek
02450250,Sipsey Fork
02408540,Socapatoy Creek
02418230,Sougahatchee Creek
03572690,South Sauty Creek
02406500,Talladega Creek
02419500,Tallapoosa
03574500,Turkey Creek
02408540,Walnut Creek
02455185,"Warrior, Blackburn Fork"
02455000,"Warrior, Locust Fork"
02399200,Wolf Creek (LRC Tributary)
02399200,Wolf Creek (Weiss Lake Tributary)
02399200,Yellow Creek
07340300,Baker Creek
07055875,Bear Creek (Big Piney trib)
07263000,Bear Creek (South Fourche trib)
07074000,Big Creek
07055875,Big Devil's Fork
07257006,Big Piney Creek
07249800,Blackburn Creek
07360200,Blaylock Creek
07360200,Blocker Creek
07055875,Bobtail Creek
07055646,Boen Gulf Branch
07055875,Boss Hollow
07340300,Brushy Creek
07055646,Buffalo
07055660,Buffalo
07055680,Buffalo
07056000,Buffalo
07056700,Buffalo
07359610,Caddo
07261000,"Cadron Creek, East Fork"
07261000,"Cadron Creek, Middle Fork"
07261000,Cadron Creek
07251500,Cedar Creek (Crawford Co.)
07251500,"Cedar Creek, E. Fork (Crawford Co.)"
07251500,"Cedar Creek, W. Fork (Crawford Co.)"
07055646,Clark Creek
07251500,Clear Creek
07340300,Cossatot
07340500,Cossatot
07261000,Cove Creek (Faulkner Co.)
07360200,Crooked Creek (Montgomery Co.)
07055875,Dry Creek (Richland)
07249800,Fall Creek
07055875,Falling Water Creek
07055875,Falls Branch
07356000,Fiddlers Creek
07251500,Frog Bayou
07257006,Graves Creek
07340300,Harris Creek
07249800,Hart Creek
07261000,Hogan's Creek
07252000,Hurricane Creek (Franklin County)
07055875,Hurricane Creek (Newton & Pope Co.)
07257500,"Illinois Bayou, E. Fork"
07257500,"Illinois Bayou, Middle Fork"
07257500,"Illinois Bayou, N. Fork"
07257500,Illinois Bayou
07195430,Illinois
07257006,Indian Creek
07260000,Jack Creek
07050500,Kings
07249800,Lee Creek
07055875,Left Hand Prong
07360200,Little Missouri
07257200,Little Piney Creek
07075300,"Little Red, Archey's Fork"
07075000,"Little Red, Middle Fork"
07075300,"Little Red, South Fork"
07055875,Long Devil's Fork
07075000,Meadow Creek
07340300,Moore Creek
07252000,Mulberry
07060710,North Sylamore Creek
07340300,Opossum Creek
07356000,Ouachita
07359002,Ouachita
07055875,Richland Creek
07263580,Rock Creek
07075000,Salado Creek
07341000,Saline (Howard County)
07360200,Saline (Howard County)
07362587,"Saline, Alum Fork"
07363000,"Saline, North Fork"
07263000,South Fourche LaFave
07252000,Spirits Creek
07069500,Spring
07074000,Strawberry
07260000,Sugar Creek
07055875,Sulphur Creek
07263000,Trace Creek
07049000,War Eagle Creek
07048600,"White, Middle Fork"
07048550,"White, West Fork"
07048600,White
09426000,Bill Williams
09489500,"Black, E. Fork"
09444200,Blue
09397500,Chevelon Creek
09499000,Christopher Creek
09404200,Colorado
09421500,Colorado
09447000,Eagle Creek
09507980,East Verde
09507980,Ellison Creek
09507480,Fossil Creek
09432000,Gila
09474000,Gila
09384000,Little Colorado
09402000,Little Colorado
09504420,Oak Creek
09497980,Salome Creek
09497500,Salt
09502000,Salt
09444500,San Francisco
09510200,Sycamore Creek
09499000,Tonto Creek
09504000,Verde
09506000,Verde
09508500,Verde
09510000,Verde
09413500,Virgin
09505200,Wet Beaver Creek
09447800,"White River, East Fork"
11179000,Alameda Creek
11427000,"American, N. Fork"
11446500,American
11383500,Antelope Creek
11173200,Arroyo Hondo
11173200,Arroyo Mocho
11151870,Arroyo Seco
11152000,Arroyo Seco
11176400,Arroyo Valle
11376550,Battle Creek
11451715,Bear Creek
11463170,Big Sulphur Creek
11143000,Big Sur
11203580,Brush Creek
11390000,Butte Creek
11451000,Cache Creek
11143200,Carmel
10308200,"Carson, E. Fork"
11278000,Cherry Creek
11372000,Clear Creek (Sacramento trib.)
11335000,Cosumnes
11522500,Crapo Creek
11136800,Cuyama
11383500,Deer Creek
11203580,Dry Meadow Creek
11473900,"Eel, Middle Fork"
11475800,"Eel, S. Fork"
11475000,Eel
11477000,Eel
11379500,Elder Creek
11532500,Goose Creek
11521500,Indian Creek (Klamath trib)
11189500,"Kern, S. Fork"
11510700,Klamath
11516530,Klamath
11520500,Klamath
11523000,Klamath
11530500,Klamath
11463170,Little Sulphur Creek
11023340,Los Penasquitos Creek
11468900,Mattole
11264500,Merced
11266500,Merced
11458000,Napa
11468000,Navarro
10254970,New
11468500,Noyo
11109600,Piru Creek
11109800,Piru Creek
11355010,Pit
11453500,Putah Creek
11454000,Putah Creek
11481500,Redwood Creek
11482500,Redwood Creek
11463000,Russian
09358000,Animas
09359020,Animas
09359500,Animas
09361500,Animas
07087050,Arkansas
07091200,Arkansas
07094500,Arkansas
07099970,Arkansas
09046490,Blue
09050700,Blue
09057500,Blue
06751490,"Cache La Poudre, North Fork"
09126000,Cimarron
06716100,"Clear Creek, West Fork"
06715000,Clear Creek
06716500,Clear Creek
06719505,Clear Creek
09034250,Colorado
09058000,Colorado
09060799,Colorado
09070500,Colorado
09085100,Colorado
09095500,Colorado
09163500,Colorado
09065100,Cross Creek
09081600,"Crystal, South Fork"
09081600,Crystal
385106106571000,Daisy Creek
09165000,Dolores
09168730,Dolores
09171100,Dolores
09180000,Dolores
09063000,Eagle
09064600,Eagle
09070000,Eagle
09112200,East
09242500,Elk River
09238900,Fish Creek
09027100,Fraser
09080400,Fryingpan
09066325,Gore Creek
09234500,Green
09261000,Green
09132500,"Gunnison, North Fork"
09114500,Gunnison
09128000,Gunnison
09144250,Gunnison
09064000,Homestake Creek
06746110,Joe Wright Creek
09124500,Lake Fork Gunnison
09359010,Mineral Creek
06620000,North Platte
385106106571000,Oh Be Joyful Creek
09349800,Piedra
09059500,Piney
09105000,Plateau Creek
07126485,Purgatoire
09073300,Roaring Fork
09073400,Roaring Fork
09085000,Roaring Fork
09342500,San Juan
09172500,San Miguel
09174600,San Miguel
09177000,San Miguel
385106106571000,Slate
09047500,Snake River
06700000,South Platte
06710247,South Platte
06721000,South Platte
09110000,Taylor River Canyon
09050100,Tenmile Creek
09146020,Uncompahgre River
09146200,Uncompahgre River
09147500,Uncompahgre River
09352900,Vallecito Creek
09306290,White
09037500,Williams Fork
06716100,Woods Creek
09239500,Yampa
09244490,Yampa
09247600,Yampa
09251000,Yampa
09260050,Yampa
01185500,Center Brook
01208990,Far Mill River
01186000,"Farmington, W. Branch"
01186000,Farmington
01188090,Farmington
01189995,Farmington
01199000,Housatonic
01200500,Housatonic
01120790,Natchaug
01208500,Naugatuck
01209700,Norwalk
01125500,Quinebaug
01193500,Roaring Brook
01193500,Salmon
01187300,Sandy Brook
01202501,Shepaug
01186500,Still
01200000,Tenmile
01119500,Willimantic River
01481000,Brandywine Creek
01479820,Red Clay Creek
02317620,Alapahoochee (Grand Bay Canal)
02304500,Hillsborough
02315500,Suwannee
02208050,Alcovy
02208450,Alcovy
03568933,Allen Creek
02390000,Amicalola Creek
02337000,Annewakee
02219000,Apalachee
02196485,Augusta Canal Overflow
03568933,Bear Creek
02335757,Big Creek
02221525,Big Sandy Creek
02333500,Blood Mountain Creek
02333500,Boggs Creek
02192000,"Broad, South Fork"
02191300,Broad
02379500,Cartecay
02330450,Chattahoochee
02331000,Chattahoochee
02331600,Chattahoochee
02334430,Chattahoochee
02336000,Chattahoochee
02336490,Chattahoochee
02177000,"Chattooga, West Fork"
02176930,Chattooga
02177000,Chattooga
02333500,Chestatee
02381600,Clear Creek
02178400,Coleman
02385800,Conasauga
02397000,Coosa
02380500,Coosawattee
02333500,Dicks Creek
02337410,Dog
02388975,Etowah
02389150,Etowah
02334620,Flat Creek
02347500,Flint
02333500,Frogtown Creek
03568933,Gulf Creek
02331600,Hazel Creek
02385800,Holly Creek
02217770,Hudson
02337500,Hurricane Creek
02344605,Line Creek
02220900,Little 2 (Putnam County)
02220900,Little 3 (Putnam County)
02221525,Little Towaliga
02334620,"Little, E.Fk."
02392780,Little
02335870,Marsh Creek
02191300,Mill Shoal Creek
02337000,Mobley Creek
02178400,Moccasin Creek
02331600,Mossy Creek
02331600,Mud Creek
02221525,Murder Creek
02191300,Nancy Town
02336635,Nickajack Creek
02217770,North Oconee
02210500,Ocmulgee
02212735,Ocmulgee
02213000,Ocmulgee
02223000,Oconee
02200120,Ogeechee
02176930,Overflow Creek
02346310,Potato Creek
02335910,Rottenwood Creek
02197000,Savannah
23358685,Sewell Mill Creek
02191300,Skull Shoal Creek
02337500,Snake
02335870,Sope Creek
02204070,South
02177000,Stekoa Creek
02337000,Sweetwater Creek
02382200,Talking Rock Creek
02178400,Tallulah
02181580,Tallulah
02337000,Tanyard Branch
02333500,Tesnatee Creek
02178400,Tiger Creek
02177000,Warwoman Creek
02337500,Whooping Creek
02178400,Wildcat Creek
02337500,Wolf Creek
02333500,Yahoola Creek
02207120,Yellow
02207335,Yellow
16103000,Hanalei
16019000,Koaie Stream
16501200,Ohe'o Gulch
16717000,Wailuku River (Hilo Run)
16108000,Waimea
05481000,Boone
05457700,Cedar
05464000,Cedar
05464500,Cedar
05480500,Des Moines
05480500,"Lizard Creek, S.Br."
05416900,Maquoketa
05470500,Onion Creek
05482500,Raccoon
05484650,Raccoon
05470000,South Skunk
05411600,Turkey
05412020,Turkey
05484800,Walnut Creek
05487980,White Breast Creek
05459500,Winnebago
10092700,Bear
13341570,Big Bear
12414500,Big Creek (Tributary of St. Joe River)
13055000,Bitch Creek
13185000,"Boise, N. Fork"
13190500,"Boise, S. Fork"
13185000,Boise
13206000,Boise
12304500,Boulder Creek
12321500,Boundary Creek
13168500,"Bruneau, W. Fork"
13168500,Bruneau
13340600,"Clearwater, N. Fork"
13338500,"Clearwater, S. Fork"
12411000,"Coeur d'Alene, Big North Fork"
12413000,"Coeur d'Alene, Little North Fork"
12411000,"Coeur d'Alene, North Fork"
12413000,"Coeur d'Alene, North Fork"
12413131,"Coeur d'Alene, South Fork"
12413000,Coeur d'Alene
13236500,Deadwood
13047500,Falls
13337000,Fish Creek
13042500,Henrys Fork
13046000,Henrys Fork
13168500,Jarbidge
13313000,Johnson Creek
12321500,Lion Creek
13341570,Little Potlatch River
13316500,Little Salmon
13337000,Lochsa
13339500,Lolo Creek
13152500,Malad (aka Big Wood)
13200000,Mores Creek
12306500,Moyie
13176400,Owyhee
12392300,Pack
13237920,"Payette, Middle Fork"
13239000,"Payette, N. Fork"
13246000,"Payette, N. Fork"
13235000,"Payette, S. Fork"
13247500,Payette
13073000,Portneuf
13341570,Potlatch
12395000,Priest
13313000,"Salmon, E. Fork of S. Fork"
13309220,"Salmon, Middle Fork"
13310700,"Salmon, S. Fork"
13296000,"Salmon, Yankee Fork"
13296500,Salmon
13302500,Salmon
13317000,Salmon
13310700,Secesh
13336500,Selway
12321500,Smith Creek
13087995,Snake
13290450,Snake
12422500,Spokane
12413875,St. Joe
12414500,St. Joe
12414900,St. Maries
13052200,Teton
13266000,Weiser
05555300,Bailey Creek
03384450,Bear Branch
05495500,Bear Creek
05551700,Blackberry Creek
05495500,Cedar Creek (Adams Co.)
05555300,Covel Creek
05529000,Des Plaines
05532500,Des Plaines
05540500,DuPage
05551200,Ferson Creek
05551540,Fox (Illinois R. trib.)
05551580,Fox (Illinois R. trib.)
05539000,Hickory Creek
05438030,"Kent Creek, S.Fk."
05556500,Little Vermilion
03384450,Lusk Creek
07010000,Mississippi
05435500,Pecatonica
05576500,Sangamon
05551330,Somonauk Creek
05556500,Spring Creek
05550300,Tyler Creek
05555300,Vermilion
05551330,Waubonsie Creek
33356848,Big Pine Creek
03303000,Blue
03363500,Flatrock
03340800,Indian Creek
03358000,Mill Creek
33356848,Mud Pine Creek
03294500,Ohio
03333450,Pipe Creek
03340800,Rattlesnake Creek
03339500,Sugar Creek
03323500,Wabash
03353800,White Lick Creek
03373500,"White, East Fork"
03275600,"Whitewater, E.Fk."
03276000,"Whitewater, E.Fk."
03276500,Whitewater
07169800,Elk
06892350,Kansas River
03254550,Banklick Creek
03314500,Barren River
03301000,Beech Fork
03406500,Buck Creek
03404900,Cane Creek
03298250,Cane Run Creek
03298250,Cedar Creek (Floyds Fork trib.)
03400500,Cloverlick Creek
03410210,"Cumberland, Big South Fork"
03401000,"Cumberland, Clover Fork"
03401000,"Cumberland, Martins Fork"
03400500,"Cumberland, Poor Fork"
03404000,Cumberland
03289500,Elkhorn Creek
03297900,Floyds Fork of the Salt River
03298000,Floyds Fork of the Salt River
03400500,Fugitt Creek
03289500,Glenn's Creek
03277075,Gunpowder Creek
03292470,Harrods Creek
03281000,"Kentucky, Middle Fork"
03281500,"Kentucky, South Fork"
03282500,Red
03410210,Roaring Paunch
03410210,Rock Creek (Cumberland trib)
03406500,Rockcastle
03298500,Salt
03406500,Sinking Creek
08025360,Sabine River
08025500,Toro Bayou
01097000,Assabet
01103500,Charles
01104500,Charles
01099500,Concord
01170500,Connecticut
01171500,Dead Branch of the Westfield River
01168500,Deerfield
01170000,Deerfield
01185500,"Farmington, W. Branch"
01170100,Green
01332500,Hoosic
01187300,Hubbard
01096000,Locke Brook
01163500,Millers
01166500,Millers
01105583,Monatiquot
01169000,North
01095375,Quinapoxet
01173500,Ware
01180500,"Westfield, Middle Branch"
01179500,"Westfield, N. Branch"
01181000,"Westfield, W. Branch"
01650500,"Anacostia, Northwest Branch"
01619500,Antietam Creek
03076600,Bear Creek
01619500,Beaver Creek
01643500,Bennett Creek
01495000,Big Elk Creek
01580000,Broad Creek
01648000,Cabin John Creek
03078000,"Casselman, N. Branch"
03078000,Casselman
01637500,Catoctin Creek
01578475,Conowingo Creek
01596500,Crabtree Creek
01580000,Deer Creek
01609000,Evitts Creek
01610155,Fifteen Mile Creek
01609000,Flintstone Creek
01599000,Georges Creek
01581920,Gunpowder Falls
01581960,Gunpowder Falls
01589300,Gwynns Falls
01585230,Herring Run
01637500,Hunting Creek
01601000,Jennings Run
01595500,Laurel Run
01582000,Little Falls
01581700,Little Gunpowder Falls
01594000,Little Patuxent
01645000,Little Seneca Creek
01584050,Long Green Creek
01639000,Middle Creek (Toms Creek trib.)
01594000,Middle Patuxent
01637500,Middle creek
03075905,Mill Run
03075905,Muddy Creek
01495000,Northeast Creek
01578475,Octoraro Creek
01637500,Owens Creek
01589000,"Patapsco, S. Branch"
01589000,Patapsco
01586210,Piney Run
01595500,"Potomac, North Branch"
01595800,"Potomac, North Branch"
01598500,"Potomac, North Branch"
01613000,Potomac
01646500,Potomac
01648000,Rock Creek
01596500,Savage
01597500,Savage
01645000,Seneca Creek
01610155,Sideling Hill Creek
01609000,Town Creek
01601000,Wills Creek
01581700,Winters Run
03075500,Youghiogheny
03075905,Youghiogheny
03076500,Youghiogheny
01011000,Allagash
01059000,Androscoggin
01017000,Aroostook
01010070,Big Black
01054200,Bull Branch (of the Sunday River)
01047000,Carrabasset
01049500,Cobbosseecontee Stream
01043500,Dead
01037380,Ducktrap
01054200,Goose Eye Brook
01019000,Grand Lake Stream
01037000,Kenduskeag Stream
01042500,Kennebec
01031450,Kingsbury Stream
01057000,Little Androscoggin
01047200,Long Pond Stream
02142900,Machias
01030500,Mattawamkeag
01069500,Mousam
01022500,Narraguagus
01021480,Old Stream
01066000,Ossipee
01029500,"Penobscot, E. Branch"
01031300,Piscataquis River
01031300,"Piscataquis, E. Branch"
01034000,Piscataquis
01064118,Presumpscot
01066000,Saco
01047000,Sandy Stream
01047200,Sandy
01048000,Sandy
01029200,Seboeis
01038000,Sheepscot
01044550,Spencer Stream
01018500,St. Croix
01011500,St. Francis
01014000,St. John
01034500,Stillwater
01055000,Swift
01054200,Wild
04044724,Au Train
04127800,Bear
04031000,Black
04126970,Boardman
04060993,Brule
04063000,Brule
04057800,Carp (Marquette)
04154000,Chippewa
04044599,Chocolay
04161000,Clinton
04044003,Dead
04043050,Eagle
04057800,"Escanaba, E.Br."
04058100,"Escanaba, M.Br."
04059000,Escanaba
04043097,Falls
04059500,Ford
04119000,Grand
04040260,Gratiot
04174500,Huron (Washtenaw)
04060500,Iron
04031000,Little Carp (Porkies)
04065106,Menominee
04066003,Menominee
04058100,Michigamme
04173500,Mill Creek
04037500,"Ontonagon, Cisco Br."
04033000,"Ontonagon, M.Br."
04036000,"Ontonagon, W.Br."
04040000,Ontonagon
04040500,"Otter, W.Br."
04161540,Paint Creek
04062000,Paint
04043016,Pilgrim
04125460,Pine
04127917,Pine
04031000,Presque Isle
04032000,Presque Isle
04112500,Red Cedar
04040500,Rock
04118500,Rogue
04043238,Salmon Trout
04031000,Sand Island Creek
04043150,Silver
04043150,Slate
04040500,Sturgeon (Baraga)
04127997,Sturgeon (Cheboygan)
04065650,Sturgeon (Dickinson)
04040500,"Sturgeon, W.Br. (Houghton)"
04045500,Tahquamenon
04040500,Tioga
05316500,Beaver Creek
05132000,Big Fork
04015330,Big Sucker Creek
05355200,Cannon
05313500,Hawk Creek
05336700,Kettle
