UsgsGaugeId,RiverName
15290000,Archangel Creek
15271000,Canyon Creek
15200280,Gulkana
15258000,Kenai
15290000,Little Susitna
15284000,Matanuska
15052500,Mendenhall
15283700,Moose Creek
15290000,Reeds Creek
15276000,Ship Creek
15271000,Sixmile (& E. Fork Sixmile)
15024800,Stikine
15292000,Susitna
15292700,Talkeetna
15294005,Willow Creek
15236900,Wolverine Creek
2399200,Bear Creek (Dekalb Co.)
2399200,Black
2453000,Blackwater Creek
2423380,Cahaba
2341460,Chattahoochee
2338523,Cheaha Creek
2399200,Chinquapin Creek
2404400,Choccolocco Creek
2411600,Coosa
2399200,Cotaco Creek
2455000,Graves Creek
2455980,Gurley Creek
2408540,Hatchet Creek
2399200,Hicks Creek
2455000,Hog Creek
2450250,Hubbard Creek
2399200,Johnnies Creek
2342500,Little Uchee
2399200,"Little, E. Fork"
2399200,"Little, W. Fork"
2399200,Little
2404400,Salt Creek
2450250,Sipsey Fork
2408540,Socapatoy Creek
2418230,Sougahatchee Creek
3572690,South Sauty Creek
2406500,Talladega Creek
2419500,Tallapoosa
3574500,Turkey Creek
2408540,Walnut Creek
2455185,"Warrior, Blackburn Fork"
2455000,"Warrior, Locust Fork"
2399200,Wolf Creek (LRC Tributary)
2399200,Wolf Creek (Weiss Lake Tributary)
2399200,Yellow Creek
7340300,Baker Creek
7055875,Bear Creek (Big Piney trib)
7263000,Bear Creek (South Fourche trib)
7074000,Big Creek
7055875,Big Devil's Fork
7257006,Big Piney Creek
7249800,Blackburn Creek
7360200,Blaylock Creek
7360200,Blocker Creek
7055875,Bobtail Creek
7055646,Boen Gulf Branch
7055875,Boss Hollow
7340300,Brushy Creek
7055646,Buffalo
7055660,Buffalo
7055680,Buffalo
7056000,Buffalo
7056700,Buffalo
7359610,Caddo
7261000,"Cadron Creek, East Fork"
7261000,"Cadron Creek, Middle Fork"
7261000,Cadron Creek
7251500,Cedar Creek (Crawford Co.)
7251500,"Cedar Creek, E. Fork (Crawford Co.)"
7251500,"Cedar Creek, W. Fork (Crawford Co.)"
7055646,Clark Creek
7251500,Clear Creek
7340300,Cossatot
7340500,Cossatot
7261000,Cove Creek (Faulkner Co.)
7360200,Crooked Creek (Montgomery Co.)
7055875,Dry Creek (Richland)
7249800,Fall Creek
7055875,Falling Water Creek
7055875,Falls Branch
7356000,Fiddlers Creek
7251500,Frog Bayou
7257006,Graves Creek
7340300,Harris Creek
7249800,Hart Creek
7261000,Hogan's Creek
7252000,Hurricane Creek (Franklin County)
7055875,Hurricane Creek (Newton & Pope Co.)
7257500,"Illinois Bayou, E. Fork"
7257500,"Illinois Bayou, Middle Fork"
7257500,"Illinois Bayou, N. Fork"
7257500,Illinois Bayou
7195430,Illinois
7257006,Indian Creek
7260000,Jack Creek
7050500,Kings
7249800,Lee Creek
7055875,Left Hand Prong
7360200,Little Missouri
7257200,Little Piney Creek
7075300,"Little Red, Archey's Fork"
7075000,"Little Red, Middle Fork"
7075300,"Little Red, South Fork"
7055875,Long Devil's Fork
7075000,Meadow Creek
7340300,Moore Creek
7252000,Mulberry
7060710,North Sylamore Creek
7340300,Opossum Creek
7356000,Ouachita
7359002,Ouachita
7055875,Richland Creek
7263580,Rock Creek
7075000,Salado Creek
7341000,Saline (Howard County)
7360200,Saline (Howard County)
7362587,"Saline, Alum Fork"
7363000,"Saline, North Fork"
7263000,South Fourche LaFave
7252000,Spirits Creek
7069500,Spring
7074000,Strawberry
7260000,Sugar Creek
7055875,Sulphur Creek
7263000,Trace Creek
7049000,War Eagle Creek
7048600,"White, Middle Fork"
7048550,"White, West Fork"
7048600,White
9426000,Bill Williams
9489500,"Black, E. Fork"
9444200,Blue
9397500,Chevelon Creek
9499000,Christopher Creek
9404200,Colorado
9421500,Colorado
9447000,Eagle Creek
9507980,East Verde
9507980,Ellison Creek
9507480,Fossil Creek
9432000,Gila
9474000,Gila
9384000,Little Colorado
9402000,Little Colorado
9504420,Oak Creek
9497980,Salome Creek
9497500,Salt
9502000,Salt
9444500,San Francisco
9510200,Sycamore Creek
9499000,Tonto Creek
9504000,Verde
9506000,Verde
9508500,Verde
9510000,Verde
9413500,Virgin
9505200,Wet Beaver Creek
9447800,"White River, East Fork"
11179000,Alameda Creek
11427000,"American, N. Fork"
11446500,American
11383500,Antelope Creek
11173200,Arroyo Hondo
11173200,Arroyo Mocho
11151870,Arroyo Seco
11152000,Arroyo Seco
11176400,Arroyo Valle
11376550,Battle Creek
11451715,Bear Creek
11463170,Big Sulphur Creek
11143000,Big Sur
11203580,Brush Creek
11390000,Butte Creek
11451000,Cache Creek
11143200,Carmel
10308200,"Carson, E. Fork"
11278000,Cherry Creek
11372000,Clear Creek (Sacramento trib.)
11335000,Cosumnes
11522500,Crapo Creek
11136800,Cuyama
11383500,Deer Creek
11203580,Dry Meadow Creek
11473900,"Eel, Middle Fork"
11475800,"Eel, S. Fork"
11475000,Eel
11477000,Eel
11379500,Elder Creek
11532500,Goose Creek
11521500,Indian Creek (Klamath trib)
11189500,"Kern, S. Fork"
11510700,Klamath
11516530,Klamath
11520500,Klamath
11523000,Klamath
11530500,Klamath
11463170,Little Sulphur Creek
11023340,Los Penasquitos Creek
11468900,Mattole
11264500,Merced
11266500,Merced
11458000,Napa
11468000,Navarro
10254970,New
11468500,Noyo
11109600,Piru Creek
11109800,Piru Creek
11355010,Pit
11453500,Putah Creek
11454000,Putah Creek
11481500,Redwood Creek
11482500,Redwood Creek
11463000,Russian
9358000,Animas
9359020,Animas
9359500,Animas
9361500,Animas
7087050,Arkansas
7091200,Arkansas
7094500,Arkansas
7099970,Arkansas
9046490,Blue
9050700,Blue
9057500,Blue
6751490,"Cache La Poudre, North Fork"
9126000,Cimarron
6716100,"Clear Creek, West Fork"
6715000,Clear Creek
6716500,Clear Creek
6719505,Clear Creek
9034250,Colorado
9058000,Colorado
9060799,Colorado
9070500,Colorado
9085100,Colorado
9095500,Colorado
9163500,Colorado
9065100,Cross Creek
9081600,"Crystal, South Fork"
9081600,Crystal
3.85E+14,Daisy Creek
9165000,Dolores
9168730,Dolores
9171100,Dolores
9180000,Dolores
9063000,Eagle
9064600,Eagle
9070000,Eagle
9112200,East
9242500,Elk River
9238900,Fish Creek
9027100,Fraser
9080400,Fryingpan
9066325,Gore Creek
9234500,Green
9261000,Green
9132500,"Gunnison, North Fork"
9114500,Gunnison
9128000,Gunnison
9144250,Gunnison
9064000,Homestake Creek
6746110,Joe Wright Creek
9124500,Lake Fork Gunnison
9359010,Mineral Creek
6620000,North Platte
3.85E+14,Oh Be Joyful Creek
9349800,Piedra
9059500,Piney
9105000,Plateau Creek
7126485,Purgatoire
9073300,Roaring Fork
9073400,Roaring Fork
9085000,Roaring Fork
9342500,San Juan
9172500,San Miguel
9174600,San Miguel
9177000,San Miguel
3.85E+14,Slate
9047500,Snake River
6700000,South Platte
6710247,South Platte
6721000,South Platte
9110000,Taylor River Canyon
9050100,Tenmile Creek
9146020,Uncompahgre River
9146200,Uncompahgre River
9147500,Uncompahgre River
9352900,Vallecito Creek
9306290,White
9037500,Williams Fork
6716100,Woods Creek
9239500,Yampa
9244490,Yampa
9247600,Yampa
9251000,Yampa
9260050,Yampa
1185500,Center Brook
1208990,Far Mill River
1186000,"Farmington, W. Branch"
1186000,Farmington
1188090,Farmington
1189995,Farmington
1199000,Housatonic
1200500,Housatonic
1120790,Natchaug
1208500,Naugatuck
1209700,Norwalk
1125500,Quinebaug
1193500,Roaring Brook
1193500,Salmon
1187300,Sandy Brook
1202501,Shepaug
1186500,Still
1200000,Tenmile
1119500,Willimantic River
1481000,Brandywine Creek
1479820,Red Clay Creek
2317620,Alapahoochee (Grand Bay Canal)
2304500,Hillsborough
2315500,Suwannee
2208050,Alcovy
2208450,Alcovy
3568933,Allen Creek
2390000,Amicalola Creek
2337000,Annewakee
2219000,Apalachee
2196485,Augusta Canal Overflow
3568933,Bear Creek
2335757,Big Creek
2221525,Big Sandy Creek
2333500,Blood Mountain Creek
2333500,Boggs Creek
2192000,"Broad, South Fork"
2191300,Broad
2379500,Cartecay
2330450,Chattahoochee
2331000,Chattahoochee
2331600,Chattahoochee
2334430,Chattahoochee
2336000,Chattahoochee
2336490,Chattahoochee
2177000,"Chattooga, West Fork"
2176930,Chattooga
2177000,Chattooga
2333500,Chestatee
2381600,Clear Creek
2178400,Coleman
2385800,Conasauga
2397000,Coosa
2380500,Coosawattee
2333500,Dicks Creek
2337410,Dog
2388975,Etowah
2389150,Etowah
2334620,Flat Creek
2347500,Flint
2333500,Frogtown Creek
3568933,Gulf Creek
2331600,Hazel Creek
2385800,Holly Creek
2217770,Hudson
2337500,Hurricane Creek
2344605,Line Creek
2220900,Little 2 (Putnam County)
2220900,Little 3 (Putnam County)
2221525,Little Towaliga
2334620,"Little, E.Fk."
2392780,Little
2335870,Marsh Creek
2191300,Mill Shoal Creek
2337000,Mobley Creek
2178400,Moccasin Creek
2331600,Mossy Creek
2331600,Mud Creek
2221525,Murder Creek
2191300,Nancy Town
2336635,Nickajack Creek
2217770,North Oconee
2210500,Ocmulgee
2212735,Ocmulgee
2213000,Ocmulgee
2223000,Oconee
2200120,Ogeechee
2176930,Overflow Creek
2346310,Potato Creek
2335910,Rottenwood Creek
2197000,Savannah
23358685,Sewell Mill Creek
2191300,Skull Shoal Creek
2337500,Snake
2335870,Sope Creek
2204070,South
2177000,Stekoa Creek
2337000,Sweetwater Creek
2382200,Talking Rock Creek
2178400,Tallulah
2181580,Tallulah
2337000,Tanyard Branch
2333500,Tesnatee Creek
2178400,Tiger Creek
2177000,Warwoman Creek
2337500,Whooping Creek
2178400,Wildcat Creek
2337500,Wolf Creek
2333500,Yahoola Creek
2207120,Yellow
2207335,Yellow
16103000,Hanalei
16019000,Koaie Stream
16501200,Ohe'o Gulch
16717000,Wailuku River (Hilo Run)
16108000,Waimea
5481000,Boone
5457700,Cedar
5464000,Cedar
5464500,Cedar
5480500,Des Moines
5480500,"Lizard Creek, S.Br."
5416900,Maquoketa
5470500,Onion Creek
5482500,Raccoon
5484650,Raccoon
5470000,South Skunk
5411600,Turkey
5412020,Turkey
5484800,Walnut Creek
5487980,White Breast Creek
5459500,Winnebago
10092700,Bear
13341570,Big Bear
12414500,Big Creek (Tributary of St. Joe River)
13055000,Bitch Creek
13185000,"Boise, N. Fork"
13190500,"Boise, S. Fork"
13185000,Boise
13206000,Boise
12304500,Boulder Creek
12321500,Boundary Creek
13168500,"Bruneau, W. Fork"
13168500,Bruneau
13340600,"Clearwater, N. Fork"
13338500,"Clearwater, S. Fork"
12411000,"Coeur d'Alene, Big North Fork"
12413000,"Coeur d'Alene, Little North Fork"
12411000,"Coeur d'Alene, North Fork"
12413000,"Coeur d'Alene, North Fork"
12413131,"Coeur d'Alene, South Fork"
12413000,Coeur d'Alene
13236500,Deadwood
13047500,Falls
13337000,Fish Creek
13042500,Henrys Fork
13046000,Henrys Fork
13168500,Jarbidge
13313000,Johnson Creek
12321500,Lion Creek
13341570,Little Potlatch River
13316500,Little Salmon
13337000,Lochsa
13339500,Lolo Creek
13152500,Malad (aka Big Wood)
13200000,Mores Creek
12306500,Moyie
13176400,Owyhee
12392300,Pack
13237920,"Payette, Middle Fork"
13239000,"Payette, N. Fork"
13246000,"Payette, N. Fork"
13235000,"Payette, S. Fork"
13247500,Payette
13073000,Portneuf
13341570,Potlatch
12395000,Priest
13313000,"Salmon, E. Fork of S. Fork"
13309220,"Salmon, Middle Fork"
13310700,"Salmon, S. Fork"
13296000,"Salmon, Yankee Fork"
13296500,Salmon
13302500,Salmon
13317000,Salmon
13310700,Secesh
13336500,Selway
12321500,Smith Creek
13087995,Snake
13290450,Snake
12422500,Spokane
12413875,St. Joe
12414500,St. Joe
12414900,St. Maries
13052200,Teton
13266000,Weiser
5555300,Bailey Creek
3384450,Bear Branch
5495500,Bear Creek
5551700,Blackberry Creek
5495500,Cedar Creek (Adams Co.)
5555300,Covel Creek
5529000,Des Plaines
5532500,Des Plaines
5540500,DuPage
5551200,Ferson Creek
5551540,Fox (Illinois R. trib.)
5551580,Fox (Illinois R. trib.)
5539000,Hickory Creek
5438030,"Kent Creek, S.Fk."
5556500,Little Vermilion
3384450,Lusk Creek
7010000,Mississippi
5435500,Pecatonica
5576500,Sangamon
5551330,Somonauk Creek
5556500,Spring Creek
5550300,Tyler Creek
5555300,Vermilion
5551330,Waubonsie Creek
33356848,Big Pine Creek
3303000,Blue
3363500,Flatrock
3340800,Indian Creek
3358000,Mill Creek
33356848,Mud Pine Creek
3294500,Ohio
3333450,Pipe Creek
3340800,Rattlesnake Creek
3339500,Sugar Creek
3323500,Wabash
3353800,White Lick Creek
3373500,"White, East Fork"
3275600,"Whitewater, E.Fk."
3276000,"Whitewater, E.Fk."
3276500,Whitewater
7169800,Elk
6892350,Kansas River
3254550,Banklick Creek
3314500,Barren River
3301000,Beech Fork
3406500,Buck Creek
3404900,Cane Creek
3298250,Cane Run Creek
3298250,Cedar Creek (Floyds Fork trib.)
3400500,Cloverlick Creek
3410210,"Cumberland, Big South Fork"
3401000,"Cumberland, Clover Fork"
3401000,"Cumberland, Martins Fork"
3400500,"Cumberland, Poor Fork"
3404000,Cumberland
3289500,Elkhorn Creek
3297900,Floyds Fork of the Salt River
3298000,Floyds Fork of the Salt River
3400500,Fugitt Creek
3289500,Glenn's Creek
3277075,Gunpowder Creek
3292470,Harrods Creek
3281000,"Kentucky, Middle Fork"
3281500,"Kentucky, South Fork"
3282500,Red
3410210,Roaring Paunch
3410210,Rock Creek (Cumberland trib)
3406500,Rockcastle
3298500,Salt
3406500,Sinking Creek
8025360,Sabine River
8025500,Toro Bayou
1097000,Assabet
1103500,Charles
1104500,Charles
1099500,Concord
1170500,Connecticut
1171500,Dead Branch of the Westfield River
1168500,Deerfield
1170000,Deerfield
1185500,"Farmington, W. Branch"
1170100,Green
1332500,Hoosic
1187300,Hubbard
1096000,Locke Brook
1163500,Millers
1166500,Millers
1105583,Monatiquot
1169000,North
1095375,Quinapoxet
1173500,Ware
1180500,"Westfield, Middle Branch"
1179500,"Westfield, N. Branch"
1181000,"Westfield, W. Branch"
1650500,"Anacostia, Northwest Branch"
1619500,Antietam Creek
3076600,Bear Creek
1619500,Beaver Creek
1643500,Bennett Creek
1495000,Big Elk Creek
1580000,Broad Creek
1648000,Cabin John Creek
3078000,"Casselman, N. Branch"
3078000,Casselman
1637500,Catoctin Creek
1578475,Conowingo Creek
1596500,Crabtree Creek
1580000,Deer Creek
1609000,Evitts Creek
1610155,Fifteen Mile Creek
1609000,Flintstone Creek
1599000,Georges Creek
1581920,Gunpowder Falls
1581960,Gunpowder Falls
1589300,Gwynns Falls
1585230,Herring Run
1637500,Hunting Creek
1601000,Jennings Run
1595500,Laurel Run
1582000,Little Falls
1581700,Little Gunpowder Falls
1594000,Little Patuxent
1645000,Little Seneca Creek
1584050,Long Green Creek
1639000,Middle Creek (Toms Creek trib.)
1594000,Middle Patuxent
1637500,Middle creek
3075905,Mill Run
3075905,Muddy Creek
1495000,Northeast Creek
1578475,Octoraro Creek
1637500,Owens Creek
1589000,"Patapsco, S. Branch"
1589000,Patapsco
1586210,Piney Run
1595500,"Potomac, North Branch"
1595800,"Potomac, North Branch"
1598500,"Potomac, North Branch"
1613000,Potomac
1646500,Potomac
1648000,Rock Creek
1596500,Savage
1597500,Savage
1645000,Seneca Creek
1610155,Sideling Hill Creek
1609000,Town Creek
1601000,Wills Creek
1581700,Winters Run
3075500,Youghiogheny
3075905,Youghiogheny
3076500,Youghiogheny
1011000,Allagash
1059000,Androscoggin
1017000,Aroostook
1010070,Big Black
1054200,Bull Branch (of the Sunday River)
1047000,Carrabasset
1049500,Cobbosseecontee Stream
1043500,Dead
1037380,Ducktrap
1054200,Goose Eye Brook
1019000,Grand Lake Stream
1037000,Kenduskeag Stream
1042500,Kennebec
1031450,Kingsbury Stream
1057000,Little Androscoggin
1047200,Long Pond Stream
2142900,Machias
1030500,Mattawamkeag
1069500,Mousam
1022500,Narraguagus
1021480,Old Stream
1066000,Ossipee
1029500,"Penobscot, E. Branch"
1031300,Piscataquis River
1031300,"Piscataquis, E. Branch"
1034000,Piscataquis
1064118,Presumpscot
1066000,Saco
1047000,Sandy Stream
1047200,Sandy
1048000,Sandy
1029200,Seboeis
1038000,Sheepscot
1044550,Spencer Stream
1018500,St. Croix
1011500,St. Francis
1014000,St. John
1034500,Stillwater
1055000,Swift
1054200,Wild
4044724,Au Train
4127800,Bear
4031000,Black
4126970,Boardman
4060993,Brule
4063000,Brule
4057800,Carp (Marquette)
4154000,Chippewa
4044599,Chocolay
4161000,Clinton
4044003,Dead
4043050,Eagle
4057800,"Escanaba, E.Br."
4058100,"Escanaba, M.Br."
4059000,Escanaba
4043097,Falls
4059500,Ford
4119000,Grand
4040260,Gratiot
4174500,Huron (Washtenaw)
4060500,Iron
4031000,Little Carp (Porkies)
4065106,Menominee
4066003,Menominee
4058100,Michigamme
4173500,Mill Creek
4037500,"Ontonagon, Cisco Br."
4033000,"Ontonagon, M.Br."
4036000,"Ontonagon, W.Br."
4040000,Ontonagon
4040500,"Otter, W.Br."
4161540,Paint Creek
4062000,Paint
4043016,Pilgrim
4125460,Pine
4127917,Pine
4031000,Presque Isle
4032000,Presque Isle
4112500,Red Cedar
4040500,Rock
4118500,Rogue
4043238,Salmon Trout
4031000,Sand Island Creek
4043150,Silver
4043150,Slate
4040500,Sturgeon (Baraga)
4127997,Sturgeon (Cheboygan)
4065650,Sturgeon (Dickinson)
4040500,"Sturgeon, W.Br. (Houghton)"
4045500,Tahquamenon
4040500,Tioga
5316500,Beaver Creek
5132000,Big Fork
4015330,Big Sucker Creek
5355200,Cannon
5313500,Hawk Creek
5336700,Kettle
